prompts,template,temp_idx
A man walking.,per-act,t1
A man sitting.,per-act,t1
A man standing.,per-act,t1
A man lying down.,per-act,t1
A man cycling.,per-act,t1
A man eating.,per-act,t1
A man laughing.,per-act,t1
A man crying.,per-act,t1
A man playing.,per-act,t1
A man jumping.,per-act,t1
A man writing.,per-act,t1
A woman walking.,per-act,t1
A woman sitting.,per-act,t1
A woman standing.,per-act,t1
A woman lying down.,per-act,t1
A woman cycling.,per-act,t1
A woman eating.,per-act,t1
A woman laughing.,per-act,t1
A woman crying.,per-act,t1
A woman playing.,per-act,t1
A woman jumping.,per-act,t1
A woman writing.,per-act,t1
A male walking.,per-act,t1
A male sitting.,per-act,t1
A male standing.,per-act,t1
A male lying down.,per-act,t1
A male cycling.,per-act,t1
A male eating.,per-act,t1
A male laughing.,per-act,t1
A male crying.,per-act,t1
A male playing.,per-act,t1
A male jumping.,per-act,t1
A male writing.,per-act,t1
A female walking.,per-act,t1
A female sitting.,per-act,t1
A female standing.,per-act,t1
A female lying down.,per-act,t1
A female cycling.,per-act,t1
A female eating.,per-act,t1
A female laughing.,per-act,t1
A female crying.,per-act,t1
A female playing.,per-act,t1
A female jumping.,per-act,t1
A female writing.,per-act,t1
A boy walking.,per-act,t1
A boy sitting.,per-act,t1
A boy standing.,per-act,t1
A boy lying down.,per-act,t1
A boy cycling.,per-act,t1
A boy eating.,per-act,t1
A boy laughing.,per-act,t1
A boy crying.,per-act,t1
A boy playing.,per-act,t1
A boy jumping.,per-act,t1
A boy writing.,per-act,t1
A girl walking.,per-act,t1
A girl sitting.,per-act,t1
A girl standing.,per-act,t1
A girl lying down.,per-act,t1
A girl cycling.,per-act,t1
A girl eating.,per-act,t1
A girl laughing.,per-act,t1
A girl crying.,per-act,t1
A girl playing.,per-act,t1
A girl jumping.,per-act,t1
A girl writing.,per-act,t1
A person walking.,per-act,t1
A person sitting.,per-act,t1
A person standing.,per-act,t1
A person lying down.,per-act,t1
A person cycling.,per-act,t1
A person eating.,per-act,t1
A person laughing.,per-act,t1
A person crying.,per-act,t1
A person playing.,per-act,t1
A person jumping.,per-act,t1
A person writing.,per-act,t1
A man walking and a woman sitting.,per-act-con-per-act,t2
A man walking and a woman standing.,per-act-con-per-act,t2
A man walking and a woman lying down.,per-act-con-per-act,t2
A man walking and a woman cycling.,per-act-con-per-act,t2
A man walking and a woman eating.,per-act-con-per-act,t2
A man walking and a woman laughing.,per-act-con-per-act,t2
A man walking and a woman crying.,per-act-con-per-act,t2
A man walking and a woman playing.,per-act-con-per-act,t2
A man walking and a woman jumping.,per-act-con-per-act,t2
A man walking and a woman writing.,per-act-con-per-act,t2
A man sitting and a woman walking.,per-act-con-per-act,t2
A man sitting and a woman standing.,per-act-con-per-act,t2
A man sitting and a woman lying down.,per-act-con-per-act,t2
A man sitting and a woman cycling.,per-act-con-per-act,t2
A man sitting and a woman eating.,per-act-con-per-act,t2
A man sitting and a woman laughing.,per-act-con-per-act,t2
A man sitting and a woman crying.,per-act-con-per-act,t2
A man sitting and a woman playing.,per-act-con-per-act,t2
A man sitting and a woman jumping.,per-act-con-per-act,t2
A man sitting and a woman writing.,per-act-con-per-act,t2
A man standing and a woman walking.,per-act-con-per-act,t2
A man standing and a woman sitting.,per-act-con-per-act,t2
A man standing and a woman lying down.,per-act-con-per-act,t2
A man standing and a woman cycling.,per-act-con-per-act,t2
A man standing and a woman eating.,per-act-con-per-act,t2
A man standing and a woman laughing.,per-act-con-per-act,t2
A man standing and a woman crying.,per-act-con-per-act,t2
A man standing and a woman playing.,per-act-con-per-act,t2
A man standing and a woman jumping.,per-act-con-per-act,t2
A man standing and a woman writing.,per-act-con-per-act,t2
A man lying down and a woman walking.,per-act-con-per-act,t2
A man lying down and a woman standing.,per-act-con-per-act,t2
A man lying down and a woman sitting.,per-act-con-per-act,t2
A man lying down and a woman cycling.,per-act-con-per-act,t2
A man lying down and a woman eating.,per-act-con-per-act,t2
A man lying down and a woman laughing.,per-act-con-per-act,t2
A man lying down and a woman crying.,per-act-con-per-act,t2
A man lying down and a woman playing.,per-act-con-per-act,t2
A man lying down and a woman jumping.,per-act-con-per-act,t2
A man lying down and a woman writing.,per-act-con-per-act,t2
A man cycling and a woman walking.,per-act-con-per-act,t2
A man cycling and a woman standing.,per-act-con-per-act,t2
A man cycling and a woman lying down.,per-act-con-per-act,t2
A man cycling and a woman sitting.,per-act-con-per-act,t2
A man cycling and a woman eating.,per-act-con-per-act,t2
A man cycling and a woman laughing.,per-act-con-per-act,t2
A man cycling and a woman crying.,per-act-con-per-act,t2
A man cycling and a woman playing.,per-act-con-per-act,t2
A man cycling and a woman jumping.,per-act-con-per-act,t2
A man cycling and a woman writing.,per-act-con-per-act,t2
A man eating and a woman walking.,per-act-con-per-act,t2
A man eating and a woman standing.,per-act-con-per-act,t2
A man eating and a woman lying down.,per-act-con-per-act,t2
A man eating and a woman cycling.,per-act-con-per-act,t2
A man eating and a woman sitting.,per-act-con-per-act,t2
A man eating and a woman laughing.,per-act-con-per-act,t2
A man eating and a woman crying.,per-act-con-per-act,t2
A man eating and a woman playing.,per-act-con-per-act,t2
A man eating and a woman jumping.,per-act-con-per-act,t2
A man eating and a woman writing.,per-act-con-per-act,t2
A man laughing and a woman walking.,per-act-con-per-act,t2
A man laughing and a woman standing.,per-act-con-per-act,t2
A man laughing and a woman lying down.,per-act-con-per-act,t2
A man laughing and a woman cycling.,per-act-con-per-act,t2
A man laughing and a woman eating.,per-act-con-per-act,t2
A man laughing and a woman sitting.,per-act-con-per-act,t2
A man laughing and a woman crying.,per-act-con-per-act,t2
A man laughing and a woman playing.,per-act-con-per-act,t2
A man laughing and a woman jumping.,per-act-con-per-act,t2
A man laughing and a woman writing.,per-act-con-per-act,t2
A man crying and a woman walking.,per-act-con-per-act,t2
A man crying and a woman standing.,per-act-con-per-act,t2
A man crying and a woman lying down.,per-act-con-per-act,t2
A man crying and a woman cycling.,per-act-con-per-act,t2
A man crying and a woman eating.,per-act-con-per-act,t2
A man crying and a woman laughing.,per-act-con-per-act,t2
A man crying and a woman sitting.,per-act-con-per-act,t2
A man crying and a woman playing.,per-act-con-per-act,t2
A man crying and a woman jumping.,per-act-con-per-act,t2
A man crying and a woman writing.,per-act-con-per-act,t2
A man playing and a woman walking.,per-act-con-per-act,t2
A man playing and a woman standing.,per-act-con-per-act,t2
A man playing and a woman lying down.,per-act-con-per-act,t2
A man playing and a woman cycling.,per-act-con-per-act,t2
A man playing and a woman eating.,per-act-con-per-act,t2
A man playing and a woman laughing.,per-act-con-per-act,t2
A man playing and a woman crying.,per-act-con-per-act,t2
A man playing and a woman sitting.,per-act-con-per-act,t2
A man playing and a woman jumping.,per-act-con-per-act,t2
A man playing and a woman writing.,per-act-con-per-act,t2
A man jumping and a woman walking.,per-act-con-per-act,t2
A man jumping and a woman standing.,per-act-con-per-act,t2
A man jumping and a woman lying down.,per-act-con-per-act,t2
A man jumping and a woman cycling.,per-act-con-per-act,t2
A man jumping and a woman eating.,per-act-con-per-act,t2
A man jumping and a woman laughing.,per-act-con-per-act,t2
A man jumping and a woman crying.,per-act-con-per-act,t2
A man jumping and a woman playing.,per-act-con-per-act,t2
A man jumping and a woman sitting.,per-act-con-per-act,t2
A man jumping and a woman writing.,per-act-con-per-act,t2
A man writing and a woman walking.,per-act-con-per-act,t2
A man writing and a woman standing.,per-act-con-per-act,t2
A man writing and a woman lying down.,per-act-con-per-act,t2
A man writing and a woman cycling.,per-act-con-per-act,t2
A man writing and a woman eating.,per-act-con-per-act,t2
A man writing and a woman laughing.,per-act-con-per-act,t2
A man writing and a woman crying.,per-act-con-per-act,t2
A man writing and a woman playing.,per-act-con-per-act,t2
A man writing and a woman jumping.,per-act-con-per-act,t2
A man writing and a woman sitting.,per-act-con-per-act,t2
A female walking and a male sitting.,per-act-con-per-act,t2
A female walking and a male standing.,per-act-con-per-act,t2
A female walking and a male lying down.,per-act-con-per-act,t2
A female walking and a male cycling.,per-act-con-per-act,t2
A female walking and a male eating.,per-act-con-per-act,t2
A female walking and a male laughing.,per-act-con-per-act,t2
A female walking and a male crying.,per-act-con-per-act,t2
A female walking and a male playing.,per-act-con-per-act,t2
A female walking and a male jumping.,per-act-con-per-act,t2
A female walking and a male writing.,per-act-con-per-act,t2
A female sitting and a male walking.,per-act-con-per-act,t2
A female sitting and a male standing.,per-act-con-per-act,t2
A female sitting and a male lying down.,per-act-con-per-act,t2
A female sitting and a male cycling.,per-act-con-per-act,t2
A female sitting and a male eating.,per-act-con-per-act,t2
A female sitting and a male laughing.,per-act-con-per-act,t2
A female sitting and a male crying.,per-act-con-per-act,t2
A female sitting and a male playing.,per-act-con-per-act,t2
A female sitting and a male jumping.,per-act-con-per-act,t2
A female sitting and a male writing.,per-act-con-per-act,t2
A female standing and a male walking.,per-act-con-per-act,t2
A female standing and a male sitting.,per-act-con-per-act,t2
A female standing and a male lying down.,per-act-con-per-act,t2
A female standing and a male cycling.,per-act-con-per-act,t2
A female standing and a male eating.,per-act-con-per-act,t2
A female standing and a male laughing.,per-act-con-per-act,t2
A female standing and a male crying.,per-act-con-per-act,t2
A female standing and a male playing.,per-act-con-per-act,t2
A female standing and a male jumping.,per-act-con-per-act,t2
A female standing and a male writing.,per-act-con-per-act,t2
A female lying down and a male walking.,per-act-con-per-act,t2
A female lying down and a male standing.,per-act-con-per-act,t2
A female lying down and a male sitting.,per-act-con-per-act,t2
A female lying down and a male cycling.,per-act-con-per-act,t2
A female lying down and a male eating.,per-act-con-per-act,t2
A female lying down and a male laughing.,per-act-con-per-act,t2
A female lying down and a male crying.,per-act-con-per-act,t2
A female lying down and a male playing.,per-act-con-per-act,t2
A female lying down and a male jumping.,per-act-con-per-act,t2
A female lying down and a male writing.,per-act-con-per-act,t2
A female cycling and a male walking.,per-act-con-per-act,t2
A female cycling and a male standing.,per-act-con-per-act,t2
A female cycling and a male lying down.,per-act-con-per-act,t2
A female cycling and a male sitting.,per-act-con-per-act,t2
A female cycling and a male eating.,per-act-con-per-act,t2
A female cycling and a male laughing.,per-act-con-per-act,t2
A female cycling and a male crying.,per-act-con-per-act,t2
A female cycling and a male playing.,per-act-con-per-act,t2
A female cycling and a male jumping.,per-act-con-per-act,t2
A female cycling and a male writing.,per-act-con-per-act,t2
A female eating and a male walking.,per-act-con-per-act,t2
A female eating and a male standing.,per-act-con-per-act,t2
A female eating and a male lying down.,per-act-con-per-act,t2
A female eating and a male cycling.,per-act-con-per-act,t2
A female eating and a male sitting.,per-act-con-per-act,t2
A female eating and a male laughing.,per-act-con-per-act,t2
A female eating and a male crying.,per-act-con-per-act,t2
A female eating and a male playing.,per-act-con-per-act,t2
A female eating and a male jumping.,per-act-con-per-act,t2
A female eating and a male writing.,per-act-con-per-act,t2
A female laughing and a male walking.,per-act-con-per-act,t2
A female laughing and a male standing.,per-act-con-per-act,t2
A female laughing and a male lying down.,per-act-con-per-act,t2
A female laughing and a male cycling.,per-act-con-per-act,t2
A female laughing and a male eating.,per-act-con-per-act,t2
A female laughing and a male sitting.,per-act-con-per-act,t2
A female laughing and a male crying.,per-act-con-per-act,t2
